model,temperature,seed,bleu_representativeness,folder
goedel-prover-8b,0.8,123,0.0043,termination-crafted
goedel-prover-8b,0.8,123,0.0,loop-invgen
goedel-prover-8b,0.8,999,0.0027,array-fpi
goedel-prover-8b,0.8,999,0.0001,termination-crafted
goedel-prover-8b,0.8,123,0.0009,loops
goedel-prover-8b,0.8,999,0.0002,termination-crafted-lit
goedel-prover-8b,0.8,42,0.2946,termination-crafted-lit
goedel-prover-8b,0.8,999,0.0673,termination-crafted
goedel-prover-8b,0.8,42,0.0227,array-memsafety
goedel-prover-8b,0.8,123,0.0,loop-industry-pattern
goedel-prover-8b,0.8,999,0.0,loop-industry-pattern
goedel-prover-8b,0.8,42,0.2547,termination-crafted
goedel-prover-8b,0.8,123,0.0987,termination-crafted-lit
goedel-prover-8b,0.8,42,0.0,loop-industry-pattern
goedel-prover-8b,0.8,999,0.383,array-memsafety
goedel-prover-8b,0.8,123,0.2999,array-memsafety
goedel-prover-8b,0.8,999,0.197,termination-crafted
goedel-prover-8b,0.8,42,0.0,termination-nla
goedel-prover-8b,0.8,123,0.0,termination-nla
goedel-prover-8b,0.8,999,0.0809,termination-crafted
goedel-prover-8b,0.8,123,0.0304,termination-nla
goedel-prover-8b,0.8,123,0.0534,bitvector
goedel-prover-8b,0.8,42,0.2042,loops
goedel-prover-8b,0.8,42,0.0841,bitvector
goedel-prover-8b,0.8,999,0.0,termination-nla
goedel-prover-8b,0.8,42,0.0,termination-nla
goedel-prover-8b,0.8,999,0.0129,termination-nla
goedel-prover-8b,0.8,123,0.0,termination-restricted-15
goedel-prover-8b,0.8,42,0.2426,termination-restricted-15
goedel-prover-8b,0.8,123,0.2347,array-fpi
goedel-prover-8b,0.8,999,0.0333,loops
goedel-prover-8b,0.8,999,0.1979,termination-restricted-15
goedel-prover-8b,0.8,999,0.0023,termination-restricted-15
goedel-prover-8b,0.8,999,0.1407,recursive-simple
goedel-prover-8b,0.8,123,0.1496,recursive-simple
goedel-prover-8b,0.8,42,0.1465,recursive-simple
goedel-prover-8b,0.8,42,0.0753,termination-restricted-15
goedel-prover-8b,0.8,999,0.0,array-fpi
goedel-prover-8b,0.8,999,0.0008,termination-bwb
goedel-prover-8b,0.8,42,0.2726,loop-acceleration
goedel-prover-8b,0.8,999,0.0497,bitvector
goedel-prover-8b,0.8,42,0.0656,termination-bwb
goedel-prover-8b,0.8,123,0.1864,termination-restricted-15
goedel-prover-8b,0.8,999,0.1056,array-fpi
goedel-prover-8b,0.8,42,0.22,recursive
goedel-prover-8b,0.8,42,0.1164,loop-acceleration
goedel-prover-8b,0.8,123,0.3519,termination-crafted-lit
goedel-prover-8b,0.8,123,0.191,loops
goedel-prover-8b,0.8,999,0.6617,termination-restricted-15
goedel-prover-8b,0.8,123,0.0261,array-fpi
goedel-prover-8b,0.8,42,0.0741,array-fpi
goedel-prover-8b,0.8,123,0.0543,termination-crafted
goedel-prover-8b,0.8,123,0.0496,termination-bwb
goedel-prover-8b,0.8,123,0.1648,loop-acceleration
goedel-prover-8b,0.8,999,0.1594,loop-acceleration
goedel-prover-8b,0.8,42,0.6536,termination-restricted-15
goedel-prover-8b,0.8,123,0.3677,termination-restricted-15
goedel-prover-8b,0.8,999,0.0201,loops-crafted-1
goedel-prover-8b,0.8,42,0.1118,loops-crafted-1
goedel-prover-8b,0.8,123,0.4558,loops-crafted-1
goedel-prover-8b,0.8,123,0.1156,termination-crafted-lit
