model,temperature,seed,bleu_representativeness,folder
goedel-prover-8b,0.5,42,0.1823,array-memsafety
goedel-prover-8b,0.5,999,0.3359,array-memsafety
goedel-prover-8b,0.5,999,0.1308,termination-crafted-lit
goedel-prover-8b,0.5,123,0.0,termination-nla
goedel-prover-8b,0.5,42,0.0,loops
goedel-prover-8b,0.5,123,0.0646,loops
goedel-prover-8b,0.5,42,0.0009,termination-nla
goedel-prover-8b,0.5,999,0.0,array-fpi
goedel-prover-8b,0.5,42,0.1678,termination-crafted-lit
goedel-prover-8b,0.5,123,0.0,termination-nla
goedel-prover-8b,0.5,999,0.0,termination-nla
goedel-prover-8b,0.5,999,0.1041,bitvector
goedel-prover-8b,0.5,42,0.0,termination-restricted-15
goedel-prover-8b,0.5,123,0.0036,termination-restricted-15
goedel-prover-8b,0.5,999,0.1271,recursive-simple
goedel-prover-8b,0.5,42,0.1873,loop-acceleration
goedel-prover-8b,0.5,123,0.0001,termination-restricted-15
goedel-prover-8b,0.5,42,0.0436,termination-restricted-15
goedel-prover-8b,0.5,42,0.6748,termination-restricted-15
goedel-prover-8b,0.5,999,0.1272,termination-restricted-15
goedel-prover-8b,0.5,999,0.0865,termination-restricted-15
goedel-prover-8b,0.5,999,0.0,array-fpi
goedel-prover-8b,0.5,42,0.0008,termination-bwb
goedel-prover-8b,0.5,999,0.0,termination-bwb
goedel-prover-8b,0.5,123,0.2714,termination-crafted
goedel-prover-8b,0.5,999,0.0001,loop-industry-pattern
goedel-prover-8b,0.5,999,0.6764,termination-restricted-15
goedel-prover-8b,0.5,123,0.1272,recursive-simple
goedel-prover-8b,0.5,123,0.0023,termination-bwb
goedel-prover-8b,0.5,123,0.0,loops-crafted-1
goedel-prover-8b,0.5,42,0.1514,recursive-simple
goedel-prover-8b,0.5,42,0.0142,array-fpi
goedel-prover-8b,0.5,123,0.0486,array-fpi
goedel-prover-8b,0.5,42,0.0758,termination-crafted
goedel-prover-8b,0.5,123,0.0651,bitvector
goedel-prover-8b,0.5,123,0.2364,loop-acceleration
goedel-prover-8b,0.5,42,0.019,bitvector
goedel-prover-8b,0.5,123,0.0024,loop-industry-pattern
goedel-prover-8b,0.5,999,0.0003,termination-nla
goedel-prover-8b,0.5,42,0.2192,loop-acceleration
goedel-prover-8b,0.5,999,0.0606,loop-acceleration
goedel-prover-8b,0.5,123,0.373,termination-restricted-15
goedel-prover-8b,0.5,999,0.0918,loops-crafted-1
goedel-prover-8b,0.5,42,0.0374,loops-crafted-1
goedel-prover-8b,0.5,999,0.0978,loops
goedel-prover-8b,0.5,42,0.1188,termination-nla
